csvid,text,label,cleaned_text,text_length,cleaned_word_count,tokens,filtered_text,stopwords_removed,filtered_word_count,tokens_str
22,I can't find joy even in things I used to love,Depression,i cant find joy even in things i used to love,45,11,"['cant', 'find', 'joy', 'even', 'things', 'used', 'love']",cant find joy even things used love,4,7,cant find joy even things used love
23,My chest feels tight and I can't breathe when anxious,Anxiety,my chest feels tight and i cant breathe when anxious,52,10,"['chest', 'feels', 'tight', 'cant', 'breathe', 'anxious']",chest feels tight cant breathe anxious,4,6,chest feels tight cant breathe anxious
24,I feel healthy and mentally clear today,Normal,i feel healthy and mentally clear today,39,7,"['feel', 'healthy', 'mentally', 'clear', 'today']",feel healthy mentally clear today,2,5,feel healthy mentally clear today
25,"I make big plans one day, then lose all motivation the next",Bipolar,i make big plans one day then lose all motivation the next,58,12,"['make', 'big', 'plans', 'one', 'day', 'lose', 'motivation', 'next']",make big plans one day lose motivation next,4,8,make big plans one day lose motivation next
26,I forget what I was doing within seconds,ADHD,i forget what i was doing within seconds,40,8,"['forget', 'within', 'seconds']",forget within seconds,5,3,forget within seconds
27,Certain smells trigger painful memories for me,PTSD,certain smells trigger painful memories for me,46,7,"['certain', 'smells', 'trigger', 'painful', 'memories']",certain smells trigger painful memories,2,5,certain smells trigger painful memories
28,I count things repeatedly until it feels perfect,OCD,i count things repeatedly until it feels perfect,48,8,"['count', 'things', 'repeatedly', 'feels', 'perfect']",count things repeatedly feels perfect,3,5,count things repeatedly feels perfect
29,I feel empty and worthless most mornings,Depression,i feel empty and worthless most mornings,40,7,"['feel', 'empty', 'worthless', 'mornings']",feel empty worthless mornings,3,4,feel empty worthless mornings
30,I overthink every decision I make,Anxiety,i overthink every decision i make,33,6,"['overthink', 'every', 'decision', 'make']",overthink every decision make,2,4,overthink every decision make
31,I'm grateful and content with my progress,Normal,im grateful and content with my progress,40,7,"['im', 'grateful', 'content', 'progress']",im grateful content progress,3,4,im grateful content progress
32,"I stay up all night with racing thoughts, then crash hard",Bipolar,i stay up all night with racing thoughts then crash hard,56,11,"['stay', 'night', 'racing', 'thoughts', 'crash', 'hard']",stay night racing thoughts crash hard,5,6,stay night racing thoughts crash hard
33,I can't focus in class or meetings at all,ADHD,i cant focus in class or meetings at all,40,9,"['cant', 'focus', 'class', 'meetings']",cant focus class meetings,5,4,cant focus class meetings
34,I avoid places that remind me of what happened,PTSD,i avoid places that remind me of what happened,46,9,"['avoid', 'places', 'remind', 'happened']",avoid places remind happened,5,4,avoid places remind happened
35,I need to check every lock in the house before sleeping,OCD,i need to check every lock in the house before sleeping,55,11,"['need', 'check', 'every', 'lock', 'house', 'sleeping']",need check every lock house sleeping,5,6,need check every lock house sleeping
36,I feel like life has no meaning,Depression,i feel like life has no meaning,31,7,"['feel', 'like', 'life', 'meaning']",feel like life meaning,3,4,feel like life meaning
37,I constantly feel like something bad is about to happen,Anxiety,i constantly feel like something bad is about to happen,55,10,"['constantly', 'feel', 'like', 'something', 'bad', 'happen']",constantly feel like something bad happen,4,6,constantly feel like something bad happen
38,I feel calm and in control lately,Normal,i feel calm and in control lately,33,7,"['feel', 'calm', 'control', 'lately']",feel calm control lately,3,4,feel calm control lately
39,"I start many projects when I'm high, then lose interest fast",Bipolar,i start many projects when im high then lose interest fast,58,11,"['start', 'many', 'projects', 'im', 'high', 'lose', 'interest', 'fast']",start many projects im high lose interest fast,3,8,start many projects im high lose interest fast
40,I'm easily distracted by any sound or movement,ADHD,im easily distracted by any sound or movement,45,8,"['im', 'easily', 'distracted', 'sound', 'movement']",im easily distracted sound movement,3,5,im easily distracted sound movement
41,I wake up scared from the same nightmare every night,PTSD,i wake up scared from the same nightmare every night,52,10,"['wake', 'scared', 'nightmare', 'every', 'night']",wake scared nightmare every night,5,5,wake scared nightmare every night
42,I keep cleaning the same spot repeatedly to feel calm,OCD,i keep cleaning the same spot repeatedly to feel calm,53,10,"['keep', 'cleaning', 'spot', 'repeatedly', 'feel', 'calm']",keep cleaning spot repeatedly feel calm,4,6,keep cleaning spot repeatedly feel calm
43,I feel hopeless even when everything is fine around me,Depression,i feel hopeless even when everything is fine around me,54,10,"['feel', 'hopeless', 'even', 'everything', 'fine', 'around']",feel hopeless even everything fine around,4,6,feel hopeless even everything fine around
44,I can't stop my mind from running through all possibilities,Anxiety,i cant stop my mind from running through all possibilities,58,10,"['cant', 'stop', 'mind', 'running', 'possibilities']",cant stop mind running possibilities,5,5,cant stop mind running possibilities
45,"I’m relaxed, positive, and looking forward to my day",Normal,im relaxed positive and looking forward to my day,49,9,"['im', 'relaxed', 'positive', 'looking', 'forward', 'day']",im relaxed positive looking forward day,3,6,im relaxed positive looking forward day
46,"Sometimes I feel like I can do anything, then crash completely",Bipolar,sometimes i feel like i can do anything then crash completely,61,11,"['sometimes', 'feel', 'like', 'anything', 'crash', 'completely']",sometimes feel like anything crash completely,5,6,sometimes feel like anything crash completely
47,I lose focus and forget what I was supposed to do,ADHD,i lose focus and forget what i was supposed to do,49,11,"['lose', 'focus', 'forget', 'supposed']",lose focus forget supposed,7,4,lose focus forget supposed
48,I get triggered easily by things related to my past,PTSD,i get triggered easily by things related to my past,51,10,"['get', 'triggered', 'easily', 'things', 'related', 'past']",get triggered easily things related past,4,6,get triggered easily things related past
49,I have to align everything perfectly on my desk,OCD,i have to align everything perfectly on my desk,47,9,"['align', 'everything', 'perfectly', 'desk']",align everything perfectly desk,5,4,align everything perfectly desk
50,I'm exhausted emotionally and mentally every day,Depression,im exhausted emotionally and mentally every day,47,7,"['im', 'exhausted', 'emotionally', 'mentally', 'every', 'day']",im exhausted emotionally mentally every day,1,6,im exhausted emotionally mentally every day
51,My hands shake when I'm nervous about small things,Anxiety,my hands shake when im nervous about small things,49,9,"['hands', 'shake', 'im', 'nervous', 'small', 'things']",hands shake im nervous small things,3,6,hands shake im nervous small things
52,I feel emotionally stable and grateful,Normal,i feel emotionally stable and grateful,38,6,"['feel', 'emotionally', 'stable', 'grateful']",feel emotionally stable grateful,2,4,feel emotionally stable grateful
53,I make impulsive decisions when I'm overly energetic,Bipolar,i make impulsive decisions when im overly energetic,51,8,"['make', 'impulsive', 'decisions', 'im', 'overly', 'energetic']",make impulsive decisions im overly energetic,2,6,make impulsive decisions im overly energetic
54,I start reading a book and switch to my phone instantly,ADHD,i start reading a book and switch to my phone instantly,55,11,"['start', 'reading', 'book', 'switch', 'phone', 'instantly']",start reading book switch phone instantly,5,6,start reading book switch phone instantly
55,I avoid people because they remind me of painful events,PTSD,i avoid people because they remind me of painful events,55,10,"['avoid', 'people', 'remind', 'painful', 'events']",avoid people remind painful events,5,5,avoid people remind painful events
56,I repeat certain phrases in my mind to feel safe,OCD,i repeat certain phrases in my mind to feel safe,48,10,"['repeat', 'certain', 'phrases', 'mind', 'feel', 'safe']",repeat certain phrases mind feel safe,4,6,repeat certain phrases mind feel safe
57,I feel like I’m drowning in sadness for no reason,Depression,i feel like im drowning in sadness for no reason,48,10,"['feel', 'like', 'im', 'drowning', 'sadness', 'reason']",feel like im drowning sadness reason,4,6,feel like im drowning sadness reason
58,I constantly feel tense and on edge,Anxiety,i constantly feel tense and on edge,35,7,"['constantly', 'feel', 'tense', 'edge']",constantly feel tense edge,3,4,constantly feel tense edge
59,I feel mentally fresh and balanced today,Normal,i feel mentally fresh and balanced today,40,7,"['feel', 'mentally', 'fresh', 'balanced', 'today']",feel mentally fresh balanced today,2,5,feel mentally fresh balanced today
60,My moods jump from confidence to despair within hours,Bipolar,my moods jump from confidence to despair within hours,53,9,"['moods', 'jump', 'confidence', 'despair', 'within', 'hours']",moods jump confidence despair within hours,3,6,moods jump confidence despair within hours
61,I get easily bored even with interesting work,ADHD,i get easily bored even with interesting work,45,8,"['get', 'easily', 'bored', 'even', 'interesting', 'work']",get easily bored even interesting work,2,6,get easily bored even interesting work
62,I relive the accident scene in my head again and again,PTSD,i relive the accident scene in my head again and again,54,11,"['relive', 'accident', 'scene', 'head']",relive accident scene head,7,4,relive accident scene head
63,I must touch objects in a specific pattern to feel okay,OCD,i must touch objects in a specific pattern to feel okay,55,11,"['must', 'touch', 'objects', 'specific', 'pattern', 'feel', 'okay']",must touch objects specific pattern feel okay,4,7,must touch objects specific pattern feel okay
64,I don’t enjoy socializing or even talking anymore,Depression,i dont enjoy socializing or even talking anymore,48,8,"['dont', 'enjoy', 'socializing', 'even', 'talking', 'anymore']",dont enjoy socializing even talking anymore,2,6,dont enjoy socializing even talking anymore
65,I worry excessively about things that might never happen,Anxiety,i worry excessively about things that might never happen,56,9,"['worry', 'excessively', 'things', 'might', 'never', 'happen']",worry excessively things might never happen,3,6,worry excessively things might never happen
66,I feel motivated and peaceful at the same time,Normal,i feel motivated and peaceful at the same time,46,9,"['feel', 'motivated', 'peaceful', 'time']",feel motivated peaceful time,5,4,feel motivated peaceful time
67,"Sometimes I’m full of ideas and energy, then feel numb",Bipolar,sometimes im full of ideas and energy then feel numb,52,10,"['sometimes', 'im', 'full', 'ideas', 'energy', 'feel', 'numb']",sometimes im full ideas energy feel numb,3,7,sometimes im full ideas energy feel numb
68,I can’t organize my thoughts long enough to complete tasks,ADHD,i cant organize my thoughts long enough to complete tasks,57,10,"['cant', 'organize', 'thoughts', 'long', 'enough', 'complete', 'tasks']",cant organize thoughts long enough complete tasks,3,7,cant organize thoughts long enough complete tasks
69,Certain sounds make me feel terrified for no reason,PTSD,certain sounds make me feel terrified for no reason,51,9,"['certain', 'sounds', 'make', 'feel', 'terrified', 'reason']",certain sounds make feel terrified reason,3,6,certain sounds make feel terrified reason
70,I keep rewriting words until they look perfect,OCD,i keep rewriting words until they look perfect,46,8,"['keep', 'rewriting', 'words', 'look', 'perfect']",keep rewriting words look perfect,3,5,keep rewriting words look perfect
71,I feel worthless and isolated all the time,Depression,i feel worthless and isolated all the time,42,8,"['feel', 'worthless', 'isolated', 'time']",feel worthless isolated time,4,4,feel worthless isolated time
72,I get nervous stomachaches before every small event,Anxiety,i get nervous stomachaches before every small event,51,8,"['get', 'nervous', 'stomachaches', 'every', 'small', 'event']",get nervous stomachaches every small event,2,6,get nervous stomachaches every small event
73,I’m enjoying my hobbies and feeling productive,Normal,im enjoying my hobbies and feeling productive,45,7,"['im', 'enjoying', 'hobbies', 'feeling', 'productive']",im enjoying hobbies feeling productive,2,5,im enjoying hobbies feeling productive
74,"I talk nonstop when I’m excited, then regret it later",Bipolar,i talk nonstop when im excited then regret it later,51,10,"['talk', 'nonstop', 'im', 'excited', 'regret', 'later']",talk nonstop im excited regret later,4,6,talk nonstop im excited regret later
75,I jump between different apps and forget my main task,ADHD,i jump between different apps and forget my main task,53,10,"['jump', 'different', 'apps', 'forget', 'main', 'task']",jump different apps forget main task,4,6,jump different apps forget main task
76,I can't sleep because of recurring traumatic dreams,PTSD,i cant sleep because of recurring traumatic dreams,50,8,"['cant', 'sleep', 'recurring', 'traumatic', 'dreams']",cant sleep recurring traumatic dreams,3,5,cant sleep recurring traumatic dreams
77,I keep counting my steps until I reach a specific number,OCD,i keep counting my steps until i reach a specific number,56,11,"['keep', 'counting', 'steps', 'reach', 'specific', 'number']",keep counting steps reach specific number,5,6,keep counting steps reach specific number
78,I have no energy or interest in doing anything,Depression,i have no energy or interest in doing anything,46,9,"['energy', 'interest', 'anything']",energy interest anything,6,3,energy interest anything
79,My heart races and I feel dizzy when anxious,Anxiety,my heart races and i feel dizzy when anxious,44,9,"['heart', 'races', 'feel', 'dizzy', 'anxious']",heart races feel dizzy anxious,4,5,heart races feel dizzy anxious
80,I feel strong and emotionally balanced,Normal,i feel strong and emotionally balanced,38,6,"['feel', 'strong', 'emotionally', 'balanced']",feel strong emotionally balanced,2,4,feel strong emotionally balanced
81,"I feel invincible one day, then too tired to get up the next",Bipolar,i feel invincible one day then too tired to get up the next,59,13,"['feel', 'invincible', 'one', 'day', 'tired', 'get', 'next']",feel invincible one day tired get next,6,7,feel invincible one day tired get next
82,I can’t stay focused even for five minutes,ADHD,i cant stay focused even for five minutes,41,8,"['cant', 'stay', 'focused', 'even', 'five', 'minutes']",cant stay focused even five minutes,2,6,cant stay focused even five minutes
83,I get sudden images of my trauma during the day,PTSD,i get sudden images of my trauma during the day,47,10,"['get', 'sudden', 'images', 'trauma', 'day']",get sudden images trauma day,5,5,get sudden images trauma day
84,I have to arrange my clothes in a specific order,OCD,i have to arrange my clothes in a specific order,48,10,"['arrange', 'clothes', 'specific', 'order']",arrange clothes specific order,6,4,arrange clothes specific order
85,I feel constantly sad for no reason,Depression,i feel constantly sad for no reason,35,7,"['feel', 'constantly', 'sad', 'reason']",feel constantly sad reason,3,4,feel constantly sad reason
86,I overanalyze every conversation and feel anxious,Anxiety,i overanalyze every conversation and feel anxious,49,7,"['overanalyze', 'every', 'conversation', 'feel', 'anxious']",overanalyze every conversation feel anxious,2,5,overanalyze every conversation feel anxious
87,I feel peaceful and thankful for my friends,Normal,i feel peaceful and thankful for my friends,43,8,"['feel', 'peaceful', 'thankful', 'friends']",feel peaceful thankful friends,4,4,feel peaceful thankful friends
88,Sometimes I spend money recklessly then regret it later,Bipolar,sometimes i spend money recklessly then regret it later,55,9,"['sometimes', 'spend', 'money', 'recklessly', 'regret', 'later']",sometimes spend money recklessly regret later,3,6,sometimes spend money recklessly regret later
89,I’m easily distracted even during important work,ADHD,im easily distracted even during important work,47,7,"['im', 'easily', 'distracted', 'even', 'important', 'work']",im easily distracted even important work,1,6,im easily distracted even important work
90,I can’t stop thinking about what happened to me years ago,PTSD,i cant stop thinking about what happened to me years ago,56,11,"['cant', 'stop', 'thinking', 'happened', 'years', 'ago']",cant stop thinking happened years ago,5,6,cant stop thinking happened years ago
91,I repeat certain actions until they feel 'just right',OCD,i repeat certain actions until they feel just right,51,9,"['repeat', 'certain', 'actions', 'feel', 'right']",repeat certain actions feel right,4,5,repeat certain actions feel right
92,I feel exhausted and empty every morning,Depression,i feel exhausted and empty every morning,40,7,"['feel', 'exhausted', 'empty', 'every', 'morning']",feel exhausted empty every morning,2,5,feel exhausted empty every morning
93,I keep fearing something bad will happen to my family,Anxiety,i keep fearing something bad will happen to my family,53,10,"['keep', 'fearing', 'something', 'bad', 'happen', 'family']",keep fearing something bad happen family,4,6,keep fearing something bad happen family
94,I feel emotionally stable and ready to work hard,Normal,i feel emotionally stable and ready to work hard,48,9,"['feel', 'emotionally', 'stable', 'ready', 'work', 'hard']",feel emotionally stable ready work hard,3,6,feel emotionally stable ready work hard
95,My mood switches from excited to sad in minutes,Bipolar,my mood switches from excited to sad in minutes,47,9,"['mood', 'switches', 'excited', 'sad', 'minutes']",mood switches excited sad minutes,4,5,mood switches excited sad minutes
96,I find it hard to pay attention during conversations,ADHD,i find it hard to pay attention during conversations,52,9,"['find', 'hard', 'pay', 'attention', 'conversations']",find hard pay attention conversations,4,5,find hard pay attention conversations
97,I get vivid flashbacks when I hear loud noises,PTSD,i get vivid flashbacks when i hear loud noises,46,9,"['get', 'vivid', 'flashbacks', 'hear', 'loud', 'noises']",get vivid flashbacks hear loud noises,3,6,get vivid flashbacks hear loud noises
98,I check all windows and doors repeatedly every night,OCD,i check all windows and doors repeatedly every night,52,9,"['check', 'windows', 'doors', 'repeatedly', 'every', 'night']",check windows doors repeatedly every night,3,6,check windows doors repeatedly every night
99,I have lost interest in everything I once loved,Depression,i have lost interest in everything i once loved,47,9,"['lost', 'interest', 'everything', 'loved']",lost interest everything loved,5,4,lost interest everything loved
100,I constantly think about possible future disasters,Anxiety,i constantly think about possible future disasters,50,7,"['constantly', 'think', 'possible', 'future', 'disasters']",constantly think possible future disasters,2,5,constantly think possible future disasters
101,Getting out of bed feels like an impossible task these days,Depression,getting out of bed feels like an impossible task these days,59,11,"['getting', 'bed', 'feels', 'like', 'impossible', 'task', 'days']",getting bed feels like impossible task days,4,7,getting bed feels like impossible task days
102,My mind races with 'what if' scenarios that I can't control,Anxiety,my mind races with what if scenarios that i cant control,56,11,"['mind', 'races', 'scenarios', 'cant', 'control']",mind races scenarios cant control,6,5,mind races scenarios cant control
103,I feel confident in my decisions and ready for the day,Normal,i feel confident in my decisions and ready for the day,54,11,"['feel', 'confident', 'decisions', 'ready', 'day']",feel confident decisions ready day,6,5,feel confident decisions ready day
104,"I went on a huge shopping spree yesterday, today I can't afford rent",Bipolar,i went on a huge shopping spree yesterday today i cant afford rent,66,13,"['went', 'huge', 'shopping', 'spree', 'yesterday', 'today', 'cant', 'afford', 'rent']",went huge shopping spree yesterday today cant afford rent,4,9,went huge shopping spree yesterday today cant afford rent
105,I have a dozen tabs open and can't focus on any of them,ADHD,i have a dozen tabs open and cant focus on any of them,54,13,"['dozen', 'tabs', 'open', 'cant', 'focus']",dozen tabs open cant focus,8,5,dozen tabs open cant focus
106,I'm hyper-vigilant and always scanning my surroundings for danger,PTSD,im hypervigilant and always scanning my surroundings for danger,63,9,"['im', 'hypervigilant', 'always', 'scanning', 'surroundings', 'danger']",im hypervigilant always scanning surroundings danger,3,6,im hypervigilant always scanning surroundings danger
107,"I have disturbing, intrusive thoughts that I can't get rid of",OCD,i have disturbing intrusive thoughts that i cant get rid of,59,11,"['disturbing', 'intrusive', 'thoughts', 'cant', 'get', 'rid']",disturbing intrusive thoughts cant get rid,5,6,disturbing intrusive thoughts cant get rid
108,The future feels bleak and I don't see the point in anything,Depression,the future feels bleak and i dont see the point in anything,59,12,"['future', 'feels', 'bleak', 'dont', 'see', 'point', 'anything']",future feels bleak dont see point anything,5,7,future feels bleak dont see point anything
109,"I feel a constant, nagging dread in the pit of my stomach",Anxiety,i feel a constant nagging dread in the pit of my stomach,56,12,"['feel', 'constant', 'nagging', 'dread', 'pit', 'stomach']",feel constant nagging dread pit stomach,6,6,feel constant nagging dread pit stomach
110,I woke up feeling refreshed and genuinely happy this morning,Normal,i woke up feeling refreshed and genuinely happy this morning,60,10,"['woke', 'feeling', 'refreshed', 'genuinely', 'happy', 'morning']",woke feeling refreshed genuinely happy morning,4,6,woke feeling refreshed genuinely happy morning
111,My friends can't keep up with my rapid mood changes,Bipolar,my friends cant keep up with my rapid mood changes,50,10,"['friends', 'cant', 'keep', 'rapid', 'mood', 'changes']",friends cant keep rapid mood changes,4,6,friends cant keep rapid mood changes
112,I interrupt people mid-sentence without meaning to,ADHD,i interrupt people midsentence without meaning to,49,7,"['interrupt', 'people', 'midsentence', 'without', 'meaning']",interrupt people midsentence without meaning,2,5,interrupt people midsentence without meaning
113,"I feel emotionally numb, like I'm just going through the motions",PTSD,i feel emotionally numb like im just going through the motions,62,11,"['feel', 'emotionally', 'numb', 'like', 'im', 'going', 'motions']",feel emotionally numb like im going motions,4,7,feel emotionally numb like im going motions
114,I have to check that the door is locked exactly seven times,OCD,i have to check that the door is locked exactly seven times,59,12,"['check', 'door', 'locked', 'exactly', 'seven', 'times']",check door locked exactly seven times,6,6,check door locked exactly seven times
115,"I feel disconnected from everyone, even my closest friends",Depression,i feel disconnected from everyone even my closest friends,57,9,"['feel', 'disconnected', 'everyone', 'even', 'closest', 'friends']",feel disconnected everyone even closest friends,3,6,feel disconnected everyone even closest friends
116,I rehearse conversations in my head over and over before they happen,Anxiety,i rehearse conversations in my head over and over before they happen,68,12,"['rehearse', 'conversations', 'head', 'happen']",rehearse conversations head happen,8,4,rehearse conversations head happen
117,I'm handling challenges with a surprisingly calm mindset,Normal,im handling challenges with a surprisingly calm mindset,55,8,"['im', 'handling', 'challenges', 'surprisingly', 'calm', 'mindset']",im handling challenges surprisingly calm mindset,2,6,im handling challenges surprisingly calm mindset
118,"Last week I felt invincible, this week I feel like a complete failure",Bipolar,last week i felt invincible this week i feel like a complete failure,68,13,"['last', 'week', 'felt', 'invincible', 'week', 'feel', 'like', 'complete', 'failure']",last week felt invincible week feel like complete failure,4,9,last week felt invincible week feel like complete failure
119,Sitting still through a whole movie feels like torture,ADHD,sitting still through a whole movie feels like torture,54,9,"['sitting', 'still', 'whole', 'movie', 'feels', 'like', 'torture']",sitting still whole movie feels like torture,2,7,sitting still whole movie feels like torture
120,A car backfiring sent me into a full-blown panic attack,PTSD,a car backfiring sent me into a fullblown panic attack,54,10,"['car', 'backfiring', 'sent', 'fullblown', 'panic', 'attack']",car backfiring sent fullblown panic attack,4,6,car backfiring sent fullblown panic attack
121,I get intense anxiety if my books are not arranged by color,OCD,i get intense anxiety if my books are not arranged by color,59,12,"['get', 'intense', 'anxiety', 'books', 'arranged', 'color']",get intense anxiety books arranged color,6,6,get intense anxiety books arranged color
122,Everything feels overwhelming and I have no energy to cope,Depression,everything feels overwhelming and i have no energy to cope,58,10,"['everything', 'feels', 'overwhelming', 'energy', 'cope']",everything feels overwhelming energy cope,5,5,everything feels overwhelming energy cope
123,"I'm terrified of being judged, so I just stay quiet",Anxiety,im terrified of being judged so i just stay quiet,49,10,"['im', 'terrified', 'judged', 'stay', 'quiet']",im terrified judged stay quiet,5,5,im terrified judged stay quiet
124,I feel hopeful and positive about what's coming next,Normal,i feel hopeful and positive about whats coming next,51,9,"['feel', 'hopeful', 'positive', 'whats', 'coming', 'next']",feel hopeful positive whats coming next,3,6,feel hopeful positive whats coming next
125,My speech gets rapid and pressured when I'm in a high state,Bipolar,my speech gets rapid and pressured when im in a high state,58,12,"['speech', 'gets', 'rapid', 'pressured', 'im', 'high', 'state']",speech gets rapid pressured im high state,5,7,speech gets rapid pressured im high state
126,"I start cleaning one room, get distracted, and start on another",ADHD,i start cleaning one room get distracted and start on another,61,11,"['start', 'cleaning', 'one', 'room', 'get', 'distracted', 'start', 'another']",start cleaning one room get distracted start another,3,8,start cleaning one room get distracted start another
127,I avoid the part of town where the incident happened,PTSD,i avoid the part of town where the incident happened,52,10,"['avoid', 'part', 'town', 'incident', 'happened']",avoid part town incident happened,5,5,avoid part town incident happened
128,"I'm afraid of contamination, so I avoid touching doorknobs",OCD,im afraid of contamination so i avoid touching doorknobs,56,9,"['im', 'afraid', 'contamination', 'avoid', 'touching', 'doorknobs']",im afraid contamination avoid touching doorknobs,3,6,im afraid contamination avoid touching doorknobs
129,I've lost my appetite and nothing tastes good anymore,Depression,ive lost my appetite and nothing tastes good anymore,52,9,"['ive', 'lost', 'appetite', 'nothing', 'tastes', 'good', 'anymore']",ive lost appetite nothing tastes good anymore,2,7,ive lost appetite nothing tastes good anymore
130,My muscles are always tense from being constantly worried,Anxiety,my muscles are always tense from being constantly worried,57,9,"['muscles', 'always', 'tense', 'constantly', 'worried']",muscles always tense constantly worried,4,5,muscles always tense constantly worried
131,I'm enjoying the simple things in life right now,Normal,im enjoying the simple things in life right now,47,9,"['im', 'enjoying', 'simple', 'things', 'life', 'right']",im enjoying simple things life right,3,6,im enjoying simple things life right
132,I started five huge projects last week and have abandoned them all,Bipolar,i started five huge projects last week and have abandoned them all,66,12,"['started', 'five', 'huge', 'projects', 'last', 'week', 'abandoned']",started five huge projects last week abandoned,5,7,started five huge projects last week abandoned
133,I zone out during important meetings and miss key information,ADHD,i zone out during important meetings and miss key information,61,10,"['zone', 'important', 'meetings', 'miss', 'key', 'information']",zone important meetings miss key information,4,6,zone important meetings miss key information
134,I have nightmares that feel so real I wake up screaming,PTSD,i have nightmares that feel so real i wake up screaming,55,11,"['nightmares', 'feel', 'real', 'wake', 'screaming']",nightmares feel real wake screaming,6,5,nightmares feel real wake screaming
