csvid,text,label,text_length,cleaned_text,cleaned_word_count
224,I'm always losing track of time,ADHD,30,im always losing track of time,6
225,I feel like the world is an unsafe and dangerous place,PTSD,54,i feel like the world is an unsafe and dangerous place,11
226,I have a compulsion to touch things in a specific order,OCD,55,i have a compulsion to touch things in a specific order,11
227,I just want to sleep and never wake up,Depression,38,i just want to sleep and never wake up,9
228,I'm hyper-aware of my heartbeat and breathing when I'm anxious,Anxiety,59,im hyperaware of my heartbeat and breathing when im anxious,10
229,Life feels manageable and I am in control,Normal,41,life feels manageable and i am in control,8
230,My thoughts are like a whirlwind I cannot escape from,Bipolar,53,my thoughts are like a whirlwind i cannot escape from,10
231,I have trouble with tasks that require sustained mental effort,ADHD,62,i have trouble with tasks that require sustained mental effort,10
232,I lost interest in activities that were once important to me after the event,PTSD,76,i lost interest in activities that were once important to me after the event,14
233,I am preoccupied with symmetry and exactness,OCD,44,i am preoccupied with symmetry and exactness,7
234,I feel emotionally numb and can't seem to cry,Depression,44,i feel emotionally numb and cant seem to cry,9
235,I have an irrational fear of crowded places,Anxiety,43,i have an irrational fear of crowded places,8
236,I feel mentally strong and capable of handling stress,Normal,53,i feel mentally strong and capable of handling stress,9
237,"I have periods of intense goal-directed activity, then nothing",Bipolar,60,i have periods of intense goaldirected activity then nothing,9
238,My thoughts are jumbled and I can't seem to think straight,ADHD,57,my thoughts are jumbled and i cant seem to think straight,11
239,I push people away to avoid getting hurt again,PTSD,46,i push people away to avoid getting hurt again,9
240,I have a pathological need to keep things perfectly clean,OCD,57,i have a pathological need to keep things perfectly clean,10
241,I have unexplained aches and pains all the time,Depression,47,i have unexplained aches and pains all the time,9
242,I obsess over small details and potential negative outcomes,Anxiety,59,i obsess over small details and potential negative outcomes,9
243,I feel optimistic about my future,Normal,33,i feel optimistic about my future,6
244,I take on more than I can handle when I'm manic,Bipolar,46,i take on more than i can handle when im manic,11
245,I am easily overwhelmed by sensory input like noise and lights,ADHD,62,i am easily overwhelmed by sensory input like noise and lights,11
246,I struggle with memory problems related to the trauma,PTSD,53,i struggle with memory problems related to the trauma,9
247,I have to arrange my food on the plate in a very specific way,OCD,61,i have to arrange my food on the plate in a very specific way,14
248,I feel like I'm moving in slow motion compared to everyone else,Depression,62,i feel like im moving in slow motion compared to everyone else,12
249,I feel a jolt of panic every time my phone rings unexpectedly,Anxiety,61,i feel a jolt of panic every time my phone rings unexpectedly,12
250,I am at peace with my choices and my current situation,Normal,54,i am at peace with my choices and my current situation,11
251,I feel so agitated I could crawl out of my skin,Bipolar,47,i feel so agitated i could crawl out of my skin,11
252,I struggle to follow step-by-step instructions,ADHD,44,i struggle to follow stepbystep instructions,6
253,"I have a sense of a foreshortened future, like I won't live long",PTSD,62,i have a sense of a foreshortened future like i wont live long,13
254,I have superstitious fears about certain numbers or colors,OCD,58,i have superstitious fears about certain numbers or colors,9
255,I have no motivation to take care of my personal hygiene,Depression,56,i have no motivation to take care of my personal hygiene,11
256,I'm worried that people can see how anxious I am,Anxiety,47,im worried that people can see how anxious i am,10
257,I feel a sense of accomplishment from my work today,Normal,51,i feel a sense of accomplishment from my work today,10
258,"I feel powerful and important, then suddenly feel insignificant",Bipolar,62,i feel powerful and important then suddenly feel insignificant,9
259,I have a very short temper and get frustrated easily,ADHD,52,i have a very short temper and get frustrated easily,10
260,I am startled by any unexpected touch,PTSD,37,i am startled by any unexpected touch,7
261,I avoid stepping on lines on the pavement,OCD,41,i avoid stepping on lines on the pavement,8
262,I feel like I'm a spectator in my own life,Depression,41,i feel like im a spectator in my own life,10
263,My thoughts are spiraling out of control with worry,Anxiety,51,my thoughts are spiraling out of control with worry,9
264,I feel a pleasant sense of focus and productivity,Normal,49,i feel a pleasant sense of focus and productivity,9
265,My behavior becomes reckless and impulsive when I'm manic,Bipolar,56,my behavior becomes reckless and impulsive when im manic,9
266,I blurt out things without thinking and regret them later,ADHD,57,i blurt out things without thinking and regret them later,10
267,I feel like I can never relax or let my guard down,PTSD,50,i feel like i can never relax or let my guard down,12
268,I have to say a certain phrase in my head to prevent bad things from happening,OCD,78,i have to say a certain phrase in my head to prevent bad things from happening,16
269,I feel an overwhelming sense of emptiness inside,Depression,48,i feel an overwhelming sense of emptiness inside,8
270,I am constantly second-guessing my decisions,Anxiety,43,i am constantly secondguessing my decisions,6
271,I woke up on the right side of the bed today,Normal,44,i woke up on the right side of the bed today,11
272,I have an inflated sense of self-importance during my highs,Bipolar,58,i have an inflated sense of selfimportance during my highs,10
273,I'm disorganized and can never find anything,ADHD,43,im disorganized and can never find anything,7
274,I feel emotionally detached from the people I love,PTSD,50,i feel emotionally detached from the people i love,9
275,I'm obsessed with keeping things in even numbers,OCD,47,im obsessed with keeping things in even numbers,8
276,I have a very critical inner voice that puts me down,Depression,52,i have a very critical inner voice that puts me down,11
277,I feel like I'm going to lose control,Anxiety,36,i feel like im going to lose control,8
278,I feel a nice balance between work and relaxation,Normal,49,i feel a nice balance between work and relaxation,9
279,My mood can flip from ecstatic to deeply depressed in an instant,Bipolar,64,my mood can flip from ecstatic to deeply depressed in an instant,12
280,I have poor time management skills and am always rushing,ADHD,56,i have poor time management skills and am always rushing,10
281,I am constantly on the lookout for anything that could be a threat,PTSD,66,i am constantly on the lookout for anything that could be a threat,13
282,"I have a fear that if I don't do my ritual, something bad will happen to my family",OCD,80,i have a fear that if i dont do my ritual something bad will happen to my family,18
283,I can't remember the last time I felt truly happy,Depression,48,i cant remember the last time i felt truly happy,10
284,I have a fear of being in situations where escape might be difficult,Anxiety,68,i have a fear of being in situations where escape might be difficult,13
285,I feel well-rested and mentally prepared for the week,Normal,52,i feel wellrested and mentally prepared for the week,9
286,I have a decreased need for sleep during manic episodes,Bipolar,55,i have a decreased need for sleep during manic episodes,10
287,I make careless mistakes in my work because I rush through it,ADHD,61,i make careless mistakes in my work because i rush through it,12
288,I have difficulty feeling positive emotions like love or happiness,PTSD,66,i have difficulty feeling positive emotions like love or happiness,10
289,I have to wash my hands until they feel raw,OCD,43,i have to wash my hands until they feel raw,10
290,I feel physically and emotionally drained for no reason,Depression,55,i feel physically and emotionally drained for no reason,9
291,I feel a constant sense of unease that I can't shake,Anxiety,51,i feel a constant sense of unease that i cant shake,11
292,I am enjoying a peaceful and uneventful day,Normal,43,i am enjoying a peaceful and uneventful day,8
293,I engage in risky behaviors when I'm in a high mood,Bipolar,50,i engage in risky behaviors when im in a high mood,11
294,I have a hard time waiting my turn in conversations or lines,ADHD,60,i have a hard time waiting my turn in conversations or lines,12
295,"I have recurring, distressing dreams about the event",PTSD,51,i have recurring distressing dreams about the event,8
296,I have intrusive violent or horrific images in my mind,OCD,54,i have intrusive violent or horrific images in my mind,10
297,I find it hard to get excited about future events,Depression,49,i find it hard to get excited about future events,10
298,I have trouble swallowing and feel a lump in my throat from anxiety,Anxiety,67,i have trouble swallowing and feel a lump in my throat from anxiety,13
299,I feel a strong sense of well-being,Normal,34,i feel a strong sense of wellbeing,7
300,My thoughts are so loud that I can't hear what people are saying,Bipolar,63,my thoughts are so loud that i cant hear what people are saying,13
301,I often lose my train of thought mid-sentence,ADHD,44,i often lose my train of thought midsentence,8
302,I feel permanently damaged by my past experiences,PTSD,49,i feel permanently damaged by my past experiences,8
303,I have to check that all appliances are unplugged multiple times,OCD,64,i have to check that all appliances are unplugged multiple times,11
304,I feel like I'm walking through mud every day,Depression,44,i feel like im walking through mud every day,9
305,My mind gets stuck on one worry and I can't move on,Anxiety,50,my mind gets stuck on one worry and i cant move on,12
