csvid,text,label
176,I have a strong physical reaction to smells that remind me of the trauma,PTSD
177,"I have a specific, rigid routine I must follow every morning",OCD
178,I feel like a burden to the people who care about me,Depression
179,I'm so scared of failure that I don't even start,Anxiety
180,I feel emotionally resilient and capable,Normal
181,"My confidence is through the roof, I feel like I can do anything",Bipolar
182,I am chronically late because I get sidetracked while getting ready,ADHD
183,I flinch at loud noises and sudden movements,PTSD
184,I check the stove is off so many times it makes me late,OCD
185,Even my favorite hobbies don't bring me any joy anymore,Depression
186,I get stuck in loops of negative thoughts I can't escape,Anxiety
187,"I'm having a calm, productive, and enjoyable day",Normal
188,"My moods are so extreme, there is no middle ground",Bipolar
189,My workspace is a chaotic mess of unfinished projects,ADHD
190,I avoid watching movies or shows with content related to my trauma,PTSD
191,I feel compelled to confess minor 'bad' thoughts to people,OCD
192,"I feel hollow inside, like something is missing",Depression
193,My hands tremble when I have to do something new,Anxiety
194,I feel content and at peace with myself right now,Normal
195,My spending gets out of control when I'm in a manic phase,Bipolar
196,I have trouble following the plot of a TV show,ADHD
197,I feel like I'm always looking over my shoulder,PTSD
198,I have to step over cracks in the sidewalk,OCD
199,The world seems gray and uninteresting to me,Depression
200,I'm constantly worried about my health and dying,Anxiety
201,I'm feeling positive and it's making my work easier,Normal
202,I can go from euphoric to suicidal in the same day,Bipolar
203,"I fidget constantly, tapping my feet or clicking a pen",ADHD
204,I feel alienated from others because they can't understand my past,PTSD
205,I feel a sense of dread if things are not in their proper place,OCD
206,I've been ignoring calls and texts from my friends for weeks,Depression
207,"I'm afraid of making a mistake, so I double-check everything",Anxiety
208,I feel grateful for the good people in my life today,Normal
209,I feel restless and can't sit still; I need to be doing something,Bipolar
210,My mind drifts away when people are talking to me,ADHD
211,I experience the traumatic event over and over in my mind,PTSD
212,"I have a fear of losing things, so I hoard useless items",OCD
213,"I have trouble making simple decisions, like what to eat",Depression
214,I feel a sense of impending doom for no apparent reason,Anxiety
215,My energy levels are stable and I feel good,Normal
216,I get easily annoyed and snap at people during my highs,Bipolar
217,I struggle to organize my tasks and prioritize what's important,ADHD
218,I feel like a different person since the traumatic event,PTSD
219,I ask for reassurance about my decisions constantly,OCD
220,I have persistent thoughts that I am not good enough,Depression
221,I feel sick to my stomach when I think about my to-do list,Anxiety
222,I feel emotionally and physically healthy,Normal
223,"I make grand, unrealistic plans when I'm feeling up",Bipolar
224,I'm always losing track of time,ADHD
225,I feel like the world is an unsafe and dangerous place,PTSD
226,I have a compulsion to touch things in a specific order,OCD
227,I just want to sleep and never wake up,Depression
228,I'm hyper-aware of my heartbeat and breathing when I'm anxious,Anxiety
229,Life feels manageable and I am in control,Normal
230,My thoughts are like a whirlwind I cannot escape from,Bipolar
231,I have trouble with tasks that require sustained mental effort,ADHD
232,I lost interest in activities that were once important to me after the event,PTSD
233,I am preoccupied with symmetry and exactness,OCD
234,I feel emotionally numb and can't seem to cry,Depression
235,I have an irrational fear of crowded places,Anxiety
236,I feel mentally strong and capable of handling stress,Normal
237,"I have periods of intense goal-directed activity, then nothing",Bipolar
238,My thoughts are jumbled and I can't seem to think straight,ADHD
239,I push people away to avoid getting hurt again,PTSD
240,I have a pathological need to keep things perfectly clean,OCD
241,I have unexplained aches and pains all the time,Depression
242,I obsess over small details and potential negative outcomes,Anxiety
243,I feel optimistic about my future,Normal
244,I take on more than I can handle when I'm manic,Bipolar
245,I am easily overwhelmed by sensory input like noise and lights,ADHD
246,I struggle with memory problems related to the trauma,PTSD
247,I have to arrange my food on the plate in a very specific way,OCD
248,I feel like I'm moving in slow motion compared to everyone else,Depression
249,I feel a jolt of panic every time my phone rings unexpectedly,Anxiety
250,I am at peace with my choices and my current situation,Normal
251,I feel so agitated I could crawl out of my skin,Bipolar
252,I struggle to follow step-by-step instructions,ADHD
253,"I have a sense of a foreshortened future, like I won't live long",PTSD
254,I have superstitious fears about certain numbers or colors,OCD
255,I have no motivation to take care of my personal hygiene,Depression
256,I'm worried that people can see how anxious I am,Anxiety
257,I feel a sense of accomplishment from my work today,Normal
258,"I feel powerful and important, then suddenly feel insignificant",Bipolar
259,I have a very short temper and get frustrated easily,ADHD
260,I am startled by any unexpected touch,PTSD
261,I avoid stepping on lines on the pavement,OCD
262,I feel like I'm a spectator in my own life,Depression
263,My thoughts are spiraling out of control with worry,Anxiety
264,I feel a pleasant sense of focus and productivity,Normal
265,My behavior becomes reckless and impulsive when I'm manic,Bipolar
266,I blurt out things without thinking and regret them later,ADHD
267,I feel like I can never relax or let my guard down,PTSD
268,I have to say a certain phrase in my head to prevent bad things from happening,OCD
269,I feel an overwhelming sense of emptiness inside,Depression
270,I am constantly second-guessing my decisions,Anxiety
271,I woke up on the right side of the bed today,Normal
272,I have an inflated sense of self-importance during my highs,Bipolar
273,I'm disorganized and can never find anything,ADHD
274,I feel emotionally detached from the people I love,PTSD
275,I'm obsessed with keeping things in even numbers,OCD
276,I have a very critical inner voice that puts me down,Depression
277,I feel like I'm going to lose control,Anxiety
278,I feel a nice balance between work and relaxation,Normal
279,My mood can flip from ecstatic to deeply depressed in an instant,Bipolar
280,I have poor time management skills and am always rushing,ADHD
281,I am constantly on the lookout for anything that could be a threat,PTSD
282,"I have a fear that if I don't do my ritual, something bad will happen to my family",OCD
283,I can't remember the last time I felt truly happy,Depression
284,I have a fear of being in situations where escape might be difficult,Anxiety
285,I feel well-rested and mentally prepared for the week,Normal
286,I have a decreased need for sleep during manic episodes,Bipolar
287,I make careless mistakes in my work because I rush through it,ADHD
288,I have difficulty feeling positive emotions like love or happiness,PTSD
289,I have to wash my hands until they feel raw,OCD
290,I feel physically and emotionally drained for no reason,Depression
291,I feel a constant sense of unease that I can't shake,Anxiety
292,I am enjoying a peaceful and uneventful day,Normal
293,I engage in risky behaviors when I'm in a high mood,Bipolar
294,I have a hard time waiting my turn in conversations or lines,ADHD
295,"I have recurring, distressing dreams about the event",PTSD
296,I have intrusive violent or horrific images in my mind,OCD
297,I find it hard to get excited about future events,Depression
298,I have trouble swallowing and feel a lump in my throat from anxiety,Anxiety
299,I feel a strong sense of well-being,Normal
300,My thoughts are so loud that I can't hear what people are saying,Bipolar
301,I often lose my train of thought mid-sentence,ADHD
302,I feel permanently damaged by my past experiences,PTSD
303,I have to check that all appliances are unplugged multiple times,OCD
304,I feel like I'm walking through mud every day,Depression
305,My mind gets stuck on one worry and I can't move on,Anxiety
306,I feel productive and satisfied with my day's work,Normal
307,"One minute I'm writing a novel, the next I'm unable to write a sentence",Bipolar
308,"I find it hard to relax, I always feel like I should be doing something",ADHD
309,"I feel disconnected from reality, like I'm in a dream",PTSD
310,I feel the need to confess every little thing I do wrong,OCD
311,My self-worth is extremely low right now,Depression
312,"I'm sweating and my heart is pounding, but there's no danger",Anxiety
313,I feel a quiet confidence in my abilities,Normal
314,I have racing thoughts and am easily distracted during manic phases,Bipolar
315,"I am forgetful in daily activities, like paying bills",ADHD
316,"I feel like an observer of my own life, not a participant",PTSD
317,I have to keep things in a certain order or I get very distressed,OCD
318,I've isolated myself from friends and family,Depression
319,I'm irritable and snappy because of my constant anxiety,Anxiety
320,I feel inspired and creatively energized today,Normal
321,My judgment is impaired when I'm manic; I make bad choices,Bipolar
322,I avoid tasks that require a lot of thought or concentration,ADHD
323,I am unable to recall important aspects of the trauma,PTSD
324,I'm terrified I will accidentally harm someone,OCD
325,I feel profound sadness that weighs me down,Depression
326,I have a persistent fear of embarrassing myself,Anxiety
327,I am content with my life as it is right now,Normal
328,I swing between overconfidence and crippling self-doubt,Bipolar
329,I have difficulty sustaining attention in tasks or play activities,ADHD
330,My emotional reactions are much stronger since the event,PTSD
331,"I clean my house for hours every day, even when it's already clean",OCD
332,I have no energy for basic self-care,Depression
333,I feel shaky and unsteady on my feet from nerves,Anxiety
334,I feel a sense of clarity and purpose,Normal
335,"My mood is elevated and expansive, I feel giddy",Bipolar
336,I have a messy and disorganized lifestyle,ADHD
337,I try to stay busy to avoid thinking about the past,PTSD
338,I am obsessed with the idea that I might get sick,OCD
339,I think about death and dying a lot,Depression
340,I experience sudden and intense waves of panic,Anxiety
341,I feel emotionally balanced and not easily upset,Normal
342,I'm very talkative and need to be the center of attention during highs,Bipolar
343,I often fail to give close attention to details,ADHD
344,I have a hard time sleeping because I'm afraid to have nightmares,PTSD
345,I have a need for things to be 'just right',OCD
346,I feel completely hopeless about my situation ever improving,Depression
347,"I feel detached from my body, like it's not my own",Anxiety
348,I'm taking things one step at a time and feel good about it,Normal
349,My thoughts jump from one topic to another without connection,Bipolar
350,"I lose things necessary for tasks, like my wallet or glasses",ADHD
351,I have a strong urge to run away or escape my current life,PTSD
352,I am excessively concerned with morality and doing the 'right' thing,OCD
353,I see no future for myself,Depression
354,"I feel like I'm on a constant, high-strung alert",Anxiety
355,I feel secure and happy in my relationships,Normal
356,I become more sexually driven and promiscuous when manic,Bipolar
357,"I can't seem to get my life in order, no matter how hard I try",ADHD
358,I am easily startled by things that wouldn't bother others,PTSD
359,I have to check and recheck my work for mistakes endlessly,OCD
360,It takes all my energy just to pretend that I'm okay,Depression
361,My throat feels tight like I can't breathe when I get anxious,Anxiety
362,I feel mentally and emotionally recharged today,Normal
363,I experience irritability that can lead to arguments or fights,Bipolar
364,I start projects with enthusiasm but quickly lose interest,ADHD
365,"I have persistent negative beliefs about myself, like 'I am bad'",PTSD
366,I collect and hoard things with no apparent value,OCD
367,I feel like I'm in a dark hole I can't climb out of,Depression
368,"I need to know what will happen, the uncertainty is killing me",Anxiety
369,I'm not worried about the future; I'm enjoying the present,Normal
370,I feel a decreased need for food during my lows,Bipolar
371,I have difficulty listening when spoken to directly,ADHD
372,"I have a distorted sense of blame, either blaming myself or others for the trauma",PTSD
373,I have unwanted sexual thoughts that cause me great distress,OCD
374,"I feel utterly alone, even when I'm surrounded by people",Depression
375,I have a phobia of something specific that I think about constantly,Anxiety
376,I feel like I can handle whatever comes my way,Normal
377,My depression phase is marked by intense lethargy and sadness,Bipolar
378,I have a hard time relaxing and am always 'on the go',ADHD
379,I have lost faith in humanity and see the world as dangerous,PTSD
380,I have to repeat a prayer every time I have a bad thought,OCD
381,Waking up in the morning is the hardest part of my day,Depression
382,I am so tense that I have frequent headaches,Anxiety
383,I feel in sync with my body and mind,Normal
384,I cycle between feeling like a genius and feeling like an idiot,Bipolar
385,I am very sensitive to criticism and rejection,ADHD
386,"I have vivid, intrusive memories of the event that feel like they're happening now",PTSD
387,I am afraid I will lose control and act on an unwanted impulse,OCD
388,The sound of other people laughing makes me feel worse,Depression
389,"I feel restless and fidgety, like I need to pace",Anxiety
390,I feel my life has meaning and purpose,Normal
391,"I'm either flying high or sinking low, with no in-between",Bipolar
392,I often act on the spur of the moment,ADHD
393,"I feel a constant sense of threat, even in safe places",PTSD
394,My rituals take up so much time that they interfere with my life,OCD
395,I have difficulty experiencing pleasure from anything,Depression
396,I get overwhelmed in busy places like supermarkets,Anxiety
397,I feel centered and calm,Normal
398,My family says it's like living with two different people,Bipolar
399,I struggle to keep my emotions in check; they're often too intense,ADHD
400,I see the world in black and white since the trauma,PTSD
401,I can't throw things away because I'm worried I might need them someday,OCD
402,I've been neglecting my responsibilities because I don't have the energy,Depression
403,I have a churning feeling in my stomach all day from worry,Anxiety
404,I feel clear-headed and ready to learn new things,Normal
405,My mind moves too quickly for me to keep up with it,Bipolar
406,I am restless and have an abundance of energy that I can't channel,ADHD
407,I have a hard time connecting with others since my experience,PTSD
408,I repeatedly check to make sure I haven't hurt someone by accident,OCD
409,I feel like I'm a disappointment to everyone,Depression
410,I'm afraid people will leave me if I show them my anxiety,Anxiety
411,I feel good about who I am and the person I'm becoming,Normal
412,"I get into grandiose thinking, believing I have special powers",Bipolar
413,I have difficulty managing my frustration,ADHD
414,I am always on guard for potential harm,PTSD
415,I feel I have to do things perfectly or not at all,OCD
416,I have a persistent feeling of sadness that won't go away,Depression
417,I feel like I'm always on the verge of a panic attack,Anxiety
418,I am happy with my social life and connections,Normal
419,I will feel intensely happy and then crash into a depressive state,Bipolar
420,My attention is easily drawn to irrelevant noises or sights,ADHD
421,I can't stop replaying the traumatic event in my mind,PTSD
422,I have a need for everything to be symmetrical and balanced,OCD
423,I've lost all my self-confidence,Depression
424,I'm always worried about things that I have no control over,Anxiety
425,I feel mentally resilient today,Normal
426,I have days where I feel on top of the world followed by days of despair,Bipolar
427,I am not good at planning for the future,ADHD
428,I feel like no one can understand what I've been through,PTSD
429,I am plagued by doubts about my memory and perception,OCD
430,"My body feels heavy, like it's made of lead",Depression
431,I am constantly tense and can never fully relax,Anxiety
432,I am making good progress towards my goals,Normal
433,My energy levels are either extremely high or extremely low,Bipolar
434,I have a history of academic and professional underachievement,ADHD
435,I feel like the trauma has stolen my future,PTSD
436,I have obsessive thoughts about religion and sin,OCD
437,I don't see any hope for things getting better,Depression
438,I get short of breath when I'm in a stressful situation,Anxiety
439,I am in a good mood and it's infectious,Normal
440,My thinking becomes disorganized and illogical during a manic episode,Bipolar
441,I have trouble completing the final details of a project,ADHD
442,I engage in self-destructive behavior to cope with the memories,PTSD
443,I have to tell myself 'don't think that' over and over again,OCD
444,"I have trouble sleeping, either too much or too little",Depression
445,I feel like I'm always on the brink of disaster,Anxiety
446,I feel my life is in a good place right now,Normal
447,I feel so agitated and full of energy I can't sleep for days,Bipolar
448,I am easily bored and crave constant stimulation,ADHD
449,I have trouble concentrating since the event happened,PTSD
450,I have a fear of saying the wrong thing and offending someone,OCD
451,I feel irritable and everything gets on my nerves,Depression
452,"I experience a sense of derealization, where the world feels unreal",Anxiety
453,I am proud of my ability to overcome challenges,Normal
454,My mind is flooded with creative ideas during my highs,Bipolar
455,I struggle with tasks that are tedious or repetitive,ADHD
456,I have a persistent and exaggerated negative state of mind,PTSD
457,I have to organize things until they feel 'just so',OCD
458,I've lost interest in my appearance and personal grooming,Depression
459,I'm afraid of being alone because my thoughts get too loud,Anxiety
460,I am enjoying a hobby that makes me feel fulfilled,Normal
461,I go through periods of being extremely social and then completely withdrawn,Bipolar
462,I'm a thrill-seeker and often engage in risky activities,ADHD
463,I feel like there's a wall between me and the rest of the world,PTSD
464,I'm extremely particular about how my food is prepared and served,OCD
465,I feel a deep sense of shame and worthlessness,Depression
466,My body feels like it's buzzing with nervous energy,Anxiety
467,I'm looking forward to what tomorrow will bring,Normal
468,My emotions are so intense they feel uncontrollable,Bipolar
469,I have a hard time managing my money and am often in debt,ADHD
470,I am unable to feel safe anywhere,PTSD
471,I have to confess my thoughts to someone to relieve my anxiety,OCD
472,I can't stop thinking about my past mistakes,Depression
473,I feel like I'm going crazy with all this worry,Anxiety
474,I feel happy and content with where I am in life,Normal
475,I have an unstoppable urge to talk when I'm manic,Bipolar
476,I have a messy car and a messy room; organization is hard,ADHD
477,I feel like the trauma defines who I am now,PTSD
478,I have a nagging feeling that I've forgotten to do something important,OCD
479,I have a pessimistic outlook on everything,Depression
480,I have nightmares that I'm being chased or trapped,Anxiety
481,I feel a sense of freedom and possibility today,Normal
482,I go from feeling deeply sad to inappropriately cheerful very quickly,Bipolar
483,I find it hard to stick to a routine,ADHD
484,I am estranged from my family because of my trauma responses,PTSD
485,I avoid certain words because they feel 'unlucky',OCD
486,"I feel like I'm just existing, not living",Depression
487,I'm always imagining the worst-case scenario,Anxiety
488,"I feel productive, but not rushed or stressed",Normal
489,My depression is so deep I can barely move or speak,Bipolar
490,I get so absorbed in one thing that I lose track of everything else,ADHD
491,I feel like I'm on a different wavelength from everyone else,PTSD
492,I feel the need to apologize for things that are not my fault,OCD
493,I feel like I'm carrying a heavy weight on my shoulders,Depression
494,I have a constant fear of being abandoned,Anxiety
495,I feel my efforts are paying off,Normal
496,My hypomanic episodes make me feel productive and brilliant,Bipolar
497,I talk excessively and don't pick up on social cues to stop,ADHD
498,I have a strong desire for revenge against those who hurt me,PTSD
499,I have to check my pulse to make sure I'm still alive,OCD
500,I feel so sad that my whole body aches,Depression
501,"My mind feels like a browser with too many tabs open, all of them frozen",Depression
502,"I get a sudden, overwhelming sense of terror for no logical reason",Anxiety
503,I handled a difficult conversation today with grace and calm,Normal
504,I redecorated my entire house overnight; now I hate it and I'm exhausted,Bipolar
505,I can't start a project until the pressure of the deadline is immense,ADHD
506,"I feel a profound sense of detachment from my own body, like it's not mine",PTSD
507,I have to mentally rehearse my entire day to make sure I didn't make a mistake,OCD
508,"Colors seem muted and food tastes bland, like the world is fading",Depression
509,My stomach is in knots worrying about a meeting that's a week away,Anxiety
510,"I'm finding joy in my daily routine, which feels really nice",Normal
511,"I feel like I have superpowers, then two days later I can't even make toast",Bipolar
512,I experience intense emotional reactions to minor setbacks,ADHD
513,I can't feel happiness or love anymore; it's like those emotions are gone,PTSD
514,"An image of a disaster will pop into my head, and I have to do a ritual to feel safe",OCD
515,"I feel like I'm underwater, and everyone else is moving at normal speed",Depression
516,I'm convinced this minor physical symptom is a sign of a fatal disease,Anxiety
517,I'm proud of the healthy habits I'm building for myself,Normal
518,My thoughts are like a freight train with no brakes during a manic episode,Bipolar
519,My brain feels like it needs constant novelty and stimulation to stay engaged,ADHD
520,"I've been engaging in risky behavior, almost like I'm testing fate",PTSD
521,I can't leave a room until everything is perfectly aligned and symmetrical,OCD
522,"It feels like there's a heavy, invisible blanket smothering my motivation",Depression
523,I felt like everyone was staring at me and judging me at the store today,Anxiety
524,I'm enjoying being present and not worrying about the past or future,Normal
525,The crash after a manic period feels like the worst emotional hangover imaginable,Bipolar
526,A simple criticism can send me into a spiral of self-doubt for days,ADHD
527,I look in the mirror and sometimes feel like I'm looking at a stranger,PTSD
528,I'm terrified that I might accidentally cause harm to someone I care about,OCD
529,I have to put on a mask of being 'fine' for everyone else,Depression
530,The physical symptoms of my anxiety—dizziness and heart pounding—are scary,Anxiety
531,I feel a quiet satisfaction from finishing my tasks for the day,Normal
532,My family says they have to walk on eggshells around me because of my moods,Bipolar
533,I have a closet full of supplies for hobbies I was obsessed with for a week,ADHD
534,"I keep thinking 'if only I had done something different,' the outcome would be better",PTSD
535,My mind gets stuck on a particular number and I have to see it everywhere,OCD
536,My thoughts are consumed by a sense of failure and regret,Depression
537,"I feel a sense of unreality, as if I'm watching a movie of my life",Anxiety
538,I feel mentally refreshed and am looking forward to new challenges,Normal
539,"During a high, I don't need to sleep and feel completely wired with energy",Bipolar
540,I'll walk into a room and completely forget why I went in there,ADHD
541,I have persistent feelings of guilt about surviving when others didn't,PTSD
542,I'm preoccupied with religious questions and fears of damnation,OCD
543,"Even small decisions feel impossible, like my brain has shut down",Depression
544,I'm experiencing tunnel vision and cold sweats during my panic attacks,Anxiety
545,I feel connected to the people around me and supported,Normal
546,"I make elaborate, unrealistic plans when I'm hypomanic",Bipolar
547,I can't seem to organize my thoughts well enough to write a simple email,ADHD
548,"I feel like a ghost in my own life, just watching things happen",PTSD
549,I have to reread pages of a book because I'm worried I missed a secret meaning,OCD
550,I am so tired of being tired all the time,Depression
551,My fear of failure is so paralyzing that I procrastinate on everything,Anxiety
552,I took a moment to appreciate the beauty of nature today,Normal
553,My speech becomes so fast that others can't understand what I'm saying,Bipolar
554,I have a very low tolerance for boredom and frustration,ADHD
555,I feel like I'm permanently broken by my past,PTSD
